<<<<<<< HEAD
Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Nov. 2017,"497,748","402,994","457,507","362,753","442,077","347,323","118,959","94,754","86,977","82,631","73,878","8,753","7,777","20,405","10,702","5,464","5,238",N/A,"3,046","9,703","1,510","8,193","29,182","25,953",897,"2,153","62,093","55,443","53,089","4,638","27,402","22,676","40,241","24,560","18,393",786,"3,638","10,639","1,513","3,078","2,810","7,794","3,999","2,239",663,"63,781","14,897","4,907","9,990","48,884","42,138","6,746","10,763","2,419",919,"1,500","1,483","61,102","53,288","3,243","55,671","2,071","48,097","23,783","24,314","490,007","389,394","448,002","347,389","431,158","330,545","107,562","100,613","92,726","7,887","17,775","9,937","7,838","29,948","26,295","61,766","55,332","4,477","27,763","22,998","42,005","22,068","16,062",739,"3,260","3,030","2,702","7,144","58,065","12,057","46,008","39,715","6,293","10,590","53,421","46,017","2,896","58,849"
Dec. 2017,"558,215","458,090","518,272","418,147","497,027","396,902","149,727","100,125","92,708","88,211","79,822","8,389","7,417","22,851","11,434","5,400","6,034",N/A,"4,006","11,417","1,432","9,985","26,728","23,439",788,"2,226","67,886","59,125","56,756","5,972","30,602","24,692","39,943","33,923","23,501","1,026","4,524","13,641","1,815","4,144","5,832","10,899","5,530","3,258","1,114","78,716","20,383","7,943","12,440","58,333","50,087","8,246","11,736","3,338","1,016","2,322","1,500","73,618","64,725","4,431","61,188","2,231","53,589","27,777","25,812","492,401","392,021","449,681","349,301","433,282","332,902","107,690","100,380","92,247","8,133","17,758","9,960","7,798","30,044","26,306","62,282","55,884","4,453","27,669","22,969","42,720","21,760","15,906",745,"3,257","3,005","2,597","7,059","58,591","11,963","46,628","40,231","6,397","10,656","54,363","46,733","3,123","59,119"
=======
Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2017,"421,943","336,756","386,019","300,832","368,960","283,773","89,665","85,187","78,171","74,592","65,936","8,656","7,016","15,441","8,407","4,646","3,761","1,459","2,181","7,034","1,302","5,732","22,389","20,256",747,"1,781","57,800","52,552","50,497","3,578","25,715","21,723","35,924","15,907","11,843",622,"2,373","6,024","1,502","2,143","1,742","6,215","2,955","1,182","1,380","49,906","9,386","2,847","6,539","40,520","35,225","5,295","8,654","2,196","1,186","1,010","1,226","45,822","38,057","3,943","52,983","1,977","46,503","23,690","22,813","473,484","374,064","433,613","334,193","416,081","316,661","106,705","99,420","91,642","7,778","17,195","9,499","7,696","28,685","25,383","59,561","53,298","4,332","26,160","21,658","39,871","22,025","16,167",801,"3,328","3,088","2,558","7,227","57,695","12,565","45,130","38,966","6,164","10,110","48,132","41,456","2,425","57,403"
Feb. 2017,"418,315","328,901","384,105","294,691","365,480","276,066","90,295","89,414","82,482","77,677","67,908","9,769","6,932","15,096","8,377","4,757","3,620","1,510","1,980","6,719","1,290","5,429","22,494","19,963",772,"1,696","54,492","49,212","47,201","3,606","24,718","20,599","34,210","18,020","12,703",644,"2,668","6,542","1,444","2,674","2,435","5,549","3,030","1,181",672,"49,571","9,909","3,266","6,643",39662,"34,246","5,416","8,804","2,059",971,"1,088","1,249","43,112","35,954","3,375","52,835","1,955","45,966","23,611","22,355","472,995","374,178","432,889","334,072","415,503","316,686","105,280","98,817","91,140","7,677","17,107","9,498","7,609","28,943","25,398","59,832","53,608","4,298","26,436","21,867","40,106","21,654","15,887",784,"3,290","3,015","2,515","7,051","56,965","12,394","44,571","38,479","6,092","10,280","48,312","41,662","2,414","57,492"
Mar. 2017,"483,082","376,796","443,979","337,693","422,891","316,605","103,318","106,286","97,923","91,087","79,946","11,141","8,363","17,310","9,815","5,476","4,339",N/A,"2,317","7,495","1,493","6,002","29,230","25,217",978,"2,127","60,237","54,366","52,090","4,074","27,499","22,640","39,103","21,332","15,785",797,"3,364","8,372","1,579","3,233","2,101","6,623","3,780","1,355",690,"55,762","11,630","3,768","7,862",44132,"37,986","6,146","9,919","2,291","1,058","1,233","1,426","49,590","41,820","3,371","60,191","2,278","52,531","26,690","25,841","471,999","375,294","432,220","335,515","414,620","317,915","105,919","96,705","88,940","7,765","17,400","9,576","7,824","28,755","25,117","60,322","54,096","4,316","26,569","22,066","39,779","21,760","15,940",828,"3,263","3,076","2,516","6,964","57,274","12,390","44,884","38,682","6,202","10,189","48,903","42,157","2,516","57,379"
Apr. 2017,"465,788","368,476","426,328","329,016","407,165","309,853","100,738","97,312","89,632","82,252","72,863","9,389","7,680","15,399","8,726","4,749","3,977",N/A,"2,117","6,673","1,350","5,323","31,259","25,962",935,"2,208","59,605","53,635","51,267","4,077","25,819","21,612","39,460","21,143","15,683",834,"3,496","8,440","1,376","3,076","2,172","6,339","3,645","1,278",712,"55,651","11,460","3,789","7,671","44,191","38,044","6,147","9,692","2,206",920,"1,286","1,321","45,486","39,274","2,129","58,623","2,119","50,905","25,741","25,164","474,363","376,910","434,824","337,371","416,889","319,436","106,260","97,453","89,632","7,821","17,285","9,434","7,851","29,063","25,279","60,461","54,177","4,374","26,755","22,212","39,539","21,777","15,969",770,"3,336","3,073","2,508","7,028","57,655","12,403","45,252","38,980","6,272","10,249","49,624","42,922","2,523","57,474"
17-May,"494,621","388,989","453,329","347,697","434,450","328,818","104,278","105,632","97,493","89,606","79,723","9,883","8,139","16,729","9,574","5,140","4,434",N/A,"2,401","7,155","1,453","5,702","35,632","29,761","1,082","2,441","62,115","55,709","53,223","4,456","27,376","23,007","41,292","21,945","16,005",873,"3,487","8,623","1,479","2,918","2,746","6,552","3,802","1,247",766,"56,603","11,833","3,983","7,850","44,770","38,470","6,300","11,205","2,449",961,"1,488","1,388","49,369","42,753","1,914","60,171","2,182","52,503","26,175","26,328","472,010","374,147","433,953","336,090","414,540","316,677","104,964","97,863","90,104","7,759","17,251","9,507","7,744","28,764","25,051","60,614","54,297","4,386","26,761","22,337","38,057","21,648","15,871",799,"3,250","2,993","2,531","6,948","56,600","12,309","44,291","38,127","6,164","10,043","49,991","43,098","2,615","57,470"
Jun. 2017,"481,729","379,136","441,236","338,643","423,034","320,441","103,200","102,593","94,441","86,383","76,450","9,933","8,152","16,749","9,522","5,084","4,438",N/A,"2,308","7,227","1,448","5,779","33,437","28,839","1,115","2,392","60,545","54,191","51,771","4,482","26,848","22,345","40,493","20,618","15,397",803,"3,220","8,388","1,494","2,765","2,237","6,716","4,108","1,178",685,"56,738","11,587","3,665","7,922","45,151","38,860","6,291","10,517","2,379",897,"1,482","1,324","47,780","41,570","1,632","58,695","2,098","51,666","25,482","26,184","473,768","375,072","436,135","337,439","416,505","317,809","106,239","98,696","90,984","7,712","17,242","9,570","7,672","28,720","25,056","60,413","54,137","4,377","26,983","22,571","37,633","21,791","15,973",799,"3,326","3,022","2,554","6,945","57,767","12,341","45,426","39,173","6,253","10,048","50,267","43,438","2,530","57,263"
Jul. 2017,"475,374","373,146","435,163","332,935","416,900","314,672","102,606","102,228","94,321","87,356","77,677","9,679","7,907","16,467","9,396","5,104","4,292",N/A,"2,319","7,071","1,396","5,675","30,060","26,497","1,044","2,194","61,611","55,159","52,679","4,598","25,966","21,610","40,211","20,795","15,368",688,"3,083","8,711","1,385","2,976","2,204","6,499","3,916","1,193",647,"56,386","11,332","3,516","7,816","45,054","38,973","6,081","10,265","2,459",926,"1,533","1,380","46,412","40,756","1,472","58,474","2,157","51,817","25,360","26,457","473,959","375,038","436,414","337,493","416,744","317,823","105,493","98,921","91,131","7,790","17,108","9,529","7,579","28,838","25,068","60,443","54,184","4,371","27,020","22,417","37,545","21,619","15,771",776,"3,304","2,976","2,611","6,841","57,438","12,170","45,268","38,973","6,295","10,258","50,713","43,918","2,486","57,215"
Aug. 2017,"490,324","385,526","448,690","343,892","431,822","327,024","108,670","104,798","96,524","89,966","80,177","9,789","8,274","17,501","10,033","5,229","4,804",N/A,"2,564","7,468","1,387","6,081","30,304","27,031","1,124","2,248","61,414","55,083","52,628","4,452","27,609","22,820","41,634","22,775","16,356",719,"3,173","9,125","1,576","3,925","2,263","7,639","4,225","1,243","1,370","57,880","12,170","3,608","8,562","45,710","39,541","6,169","10,750","2,875","1,390","1,485","1,455","49,518","43,216","1,707","58,502","2,104","51,564","25,120","26,444","474,703","378,044","435,938","339,279","417,179","320,520","106,019","96,659","88,962","7,697","17,198","9,601","7,597","28,843","25,145","60,762","54,430","4,399","27,336","22,661","38,765","21,779","15,893",762,"3,238","3,040","2,589","6,913","57,654","12,158","45,496","39,227","6,269","10,235","51,035","44,008","2,579","57,524"
Sep. 2017,"469,710","369,739","428,033","328,062","412,578","312,607","100,576","99,971","92,143","86,444","77,024","9,420","7,828","16,970","9,676","5,189","4,487",N/A,"2,299","7,294","1,385","5,909","28,978","26,017","1,015","2,161","60,283","54,142","51,676","4,346","26,551","21,944","41,677","19,909","14,713",759,"3,007","8,079","1,362","2,754","2,215","6,722","3,573","1,348",976,"54,481","10,891","3,557","7,334","43,590","37,601","5,989","10,198","2,494","1,076","1,418","1,425","46,838","40,559","1,854","57,132","2,160","49,019","23,977","25,042","484,385","383,436","443,565","342,616","426,501","325,552","106,820","100,949","93,074","7,875","17,158","9,496","7,662","29,763","26,148","61,331","55,022","4,408","27,372","22,858","40,820","21,897","15,912",778,"3,209","3,046","2,682","7,002","58,294","12,196","46,098","39,747","6,351","10,354","51,561","44,424","2,645","57,884"
Oct. 2017,"476,014","378,618","434,050","336,654","417,830","320,434","102,945","97,396","89,438","84,382","75,083","9,299","7,958","16,815","9,647","5,050","4,597",N/A,"2,338","7,168","1,360","5,808","29,672","26,536","1,039","2,264","60,762","54,561","52,095","4,343","27,761","23,386","41,964","20,469","15,361",745,"3,179","8,628","1,297","2,646","2,231","6,349","3,402","1,445",654,"56,416","11,176","3,586","7,590","45,240","39,009","6,231","10,679","2,896",941,"1,955","1,562","49,547","42,667","2,362","58,184","2,204","49,968","24,361","25,607","485,059","383,559","444,119","342,619","426,933","325,433","106,824","101,500","93,751","7,749","17,512","9,804","7,708","29,561","25,965","61,563","55,168","4,482","27,568","22,972","40,940","21,796","15,871",752,"3,218","2,986","2,675","7,031","57,996","12,072","45,924","39,643","6,281","10,392","51,074","44,077","2,559","58,126"
Nov. 2017,"497,748","402,994","457,507","362,753","442,077","347,323","118,959","94,754","86,977","82,631","73,878","8,753","7,777","20,405","10,702","5,464","5,238",N/A,"3,046","9,703","1,510","8,193","29,182","25,953",897,"2,153","62,093","55,443","53,089","4,638","27,402","22,676","40,241","24,560","18,393",786,"3,638","10,639","1,513","3,078","2,810","7,794","3,999","2,239",663,"63,781","14,897","4,907","9,990","48,884","42,138","6,746","10,763","2,419",919,"1,500","1,483","61,102","53,288","3,243","55,671","2,071","48,097","23,783","24,314","490,007","389,394","448,002","347,389","431,158","330,545","107,562","100,613","92,726","7,887","17,775","9,937","7,838","29,948","26,295","61,766","55,332","4,477","27,763","22,998","42,005","22,068","16,062",739,"3,260","3,030","2,702","7,144","58,065","12,057","46,008","39,715","6,293","10,590","53,421","46,017","2,896","58,849"
Dec. 2017,"558,215","458,090","518,272","418,147","497,027","396,902","149,727","100,125","92,708","88,211","79,822","8,389","7,417","22,851","11,434","5,400","6,034",N/A,"4,006","11,417","1,432","9,985","26,728","23,439",788,"2,226","67,886","59,125","56,756","5,972","30,602","24,692","39,943","33,923","23,501","1,026","4,524","13,641","1,815","4,144","5,832","10,899","5,530","3,258","1,114","78,716","20,383","7,943","12,440","58,333","50,087","8,246","11,736","3,338","1,016","2,322","1,500","73,618","64,725","4,431","61,188","2,231","53,589","27,777","25,812","492,401","392,021","449,681","349,301","433,282","332,902","107,690","100,380","92,247","8,133","17,758","9,960","7,798","30,044","26,306","62,282","55,884","4,453","27,669","22,969","42,720","21,760","15,906",745,"3,257","3,005","2,597","7,059","58,591","11,963","46,628","40,231","6,397","10,656","54,363","46,733","3,123","59,119"
>>>>>>> main
